location_id,state,district,latitude,longitude
L00001,Andhra Pradesh,Anantapur,14.6783221,77.6065039
L00002,Andhra Pradesh,Chittoor,13.325036,79.6480611
L00003,Andhra Pradesh,East Godavari,16.9956639,81.7154378
L00004,Andhra Pradesh,Guntur,16.2915189,80.4541588
L00005,Andhra Pradesh,Krishna,16.2135466,81.0277844
L00006,Andhra Pradesh,Kurnool,15.8309251,78.0425373
L00007,Andhra Pradesh,Nellore,14.4493717,79.9873763
L00008,Andhra Pradesh,Prakasam,15.5641955,80.0066786
L00009,Andhra Pradesh,Srikakulam,18.2949307,83.8938844
L00010,Andhra Pradesh,Visakhapatnam,17.6935526,83.2921297
L00011,Andhra Pradesh,Vizianagaram,18.1141255,83.4114389
L00012,Andhra Pradesh,West Godavari,16.6443029,81.5885247
L00013,Andhra Pradesh,YSR Kadapa,14.5395752,78.6582332
L00014,Arunachal Pradesh,Tawang,27.5879186,91.863733
L00015,Arunachal Pradesh,West Kameng,27.2986936,92.4741211
L00016,Arunachal Pradesh,East Kameng,27.557781,93.0753012
L00017,Arunachal Pradesh,Papum Pare,27.2863667,93.6187716
L00018,Arunachal Pradesh,Kurung Kumey,27.9863677,93.1578347
L00019,Arunachal Pradesh,Kra Daadi,27.9635418,93.7665654
L00020,Arunachal Pradesh,Lower Subansiri,27.6059753,93.8669707
L00021,Arunachal Pradesh,Upper Subansiri,28.2596054,94.0938106
L00022,Arunachal Pradesh,West Siang,28.1970922,94.48407
L00023,Arunachal Pradesh,East Siang,28.0742219,95.4178149
L00024,Arunachal Pradesh,Siang,28.477492,94.8165573
L00025,Arunachal Pradesh,Upper Siang,28.7312046,95.0377315
L00026,Arunachal Pradesh,Lower Siang,27.8006983,94.5650233
L00027,Arunachal Pradesh,Lower Dibang Valley,28.2149563,95.878774
L00028,Arunachal Pradesh,Dibang Valley,28.8291044,95.9554096
L00029,Arunachal Pradesh,Anjaw,28.1553856,96.8407212
L00030,Arunachal Pradesh,Lohit,28.0350162,96.1713515
L00031,Arunachal Pradesh,Namsai,27.7140306,96.0159709
L00032,Arunachal Pradesh,Changlang,27.2698797,96.0602442
L00033,Arunachal Pradesh,Tirap,27.030169,95.4979175
L00034,Arunachal Pradesh,Longding,26.8794546,95.3155652
L00035,Assam,Baksa,26.6275689,91.3388551
L00036,Assam,Barpeta,26.345941,91.039708
L00037,Assam,Biswanath,26.7938596,93.3591936
L00038,Assam,Bongaigaon,26.4800126,90.5580387
L00039,Assam,Cachar,24.75864,92.8816648
L00040,Assam,Charaideo,27.0696859,95.0642272
L00041,Assam,Chirang,26.6464231,90.624157
L00042,Assam,Darrang,26.4373481,92.0047145
L00043,Assam,Dhemaji,27.5945155,94.7192098
L00044,Assam,Dhubri,26.132275,90.1249962
L00045,Assam,Dibrugarh,27.4844597,94.9019447
L00046,Assam,Goalpara,26.0491877,90.6001859
L00047,Assam,Golaghat,26.5108262,93.9743686
L00048,Assam,Hailakandi,24.6846916,92.5645836
L00049,Assam,Hojai,25.9629402,92.981829
L00050,Assam,Jorhat,26.7577925,94.2079645
L00051,Assam,Kamrup Metropolitan,26.1352638,91.8616706
L00052,Assam,Kamrup,26.1468861,91.2227397
L00053,Assam,Karbi Anglong,26.0712781,93.4552969
L00054,Assam,Karimganj,24.5828196,92.3725487
L00055,Assam,Kokrajhar,26.4912104,90.1215209
L00056,Assam,Lakhimpur,27.1763356,94.1992932
L00057,Assam,Majuli,27.0219529,94.327423
L00058,Assam,Morigaon,26.2545556,92.3572669
L00059,Assam,Nagaon,26.3313646,92.7524763
L00060,Assam,Nalbari,26.3533632,91.3983662
L00061,Assam,Dima Hasao,25.4003625,93.0752292
L00062,Assam,Sivasagar,26.9834936,94.6394226
L00063,Assam,Sonitpur,26.7677707,92.7014089
L00064,Assam,South Salmara-Mankachar,25.7604472,89.8928061
L00065,Assam,Tinsukia,27.4879722,95.3601855
L00066,Assam,Udalguri,26.7047238,92.0421507
L00067,Assam,West Karbi Anglong,25.8529142,92.5875681
L00068,Bihar,Araria,26.1346459,87.4654062
L00069,Bihar,Arwal,25.1812832,84.6596648
L00070,Bihar,Aurangabad,24.8033201,84.4110198
L00071,Bihar,Banka,24.8328273,86.8161114
L00072,Bihar,Begusarai,25.5125411,86.0883392
L00073,Bihar,Bhagalpur,25.2861354,87.1304229
L00074,Bihar,Bhojpur,25.4501182,84.5635193
L00075,Bihar,Buxar,25.5044834,84.1097525
L00076,Bihar,Darbhanga,26.0829899,86.0324951
L00077,Bihar,East Champaran (Motihari),26.6147108,84.9144431
L00078,Bihar,Gaya,24.7964355,85.0079563
L00079,Bihar,Gopalganj,26.4211166,84.3739133
L00080,Bihar,Jamui,24.7562514,86.3011128
L00081,Bihar,Jehanabad,25.1529579,85.0065043
L00082,Bihar,Kaimur (Bhabua),25.0398678,83.6085775
L00083,Bihar,Katihar,25.5586421,87.6457196
